country,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,happiness,cluster
Lesotho,0.256640654520446,-0.717649737187795,-0.9391552686289077,-0.27109312075736647,0.9838495989941711,-2.5344236706910293,-1.8527587713797553,1
Burkina Faso,0.2762162081000293,-0.9401577685727449,-2.1674583645902477,-0.26424878959644077,-0.32739378347199255,-1.5518540951707323,-0.621501285567881,1
Tajikistan,0.31971743827687943,-1.0884964561627113,-0.04636088869404493,-0.2688869670326404,-0.5049579915142851,-0.26092636139303,-0.03288197313739272,3
Uganda,0.31971743827687943,-0.9253238998137482,-0.8083637352626539,-0.2551077214348538,0.6970151090796977,-1.308991535171166,-0.8059105005381916,1
Togo,0.3392929918564618,-0.9797147519300693,-0.9164089149999941,-0.26873442636450706,0.7379914647817659,-1.6244009793693737,-1.2985997667972549,1
China,0.36539372996257186,0.13282540499467996,-0.13165971480247138,6.340506076167066,0.10968734401672901,0.5275972491024907,-0.1511646514264304,2
Algeria,0.3697438529802564,-0.49019708288317954,-0.017927946657902778,-0.20782834915677129,-1.3791202464917272,0.5232579962158416,-0.572139222974818,3
El Salvador,0.46327149786048444,-0.5149201974815074,-0.4956013728650909,-0.261216406597275,0.12334612925075175,0.04010930761815688,0.5212770314451074,3
Guatemala,0.467621620878169,-0.6039234100354873,-0.8709162077421666,-0.23939799329408343,1.4482482969509372,0.1736769355352845,0.8696055486112502,3
Turkmenistan,0.4697966823870122,1.1662515952047803,-0.23401830613258312,-0.2512475406196737,0.42383940439924694,-0.6549847641617268,-0.40542584176428403,3
Brazil,0.4828470514400668,-0.000679413836289954,0.10717699830112268,0.3733261076308373,2.2131402700561993,0.38779194516080806,0.7718127830966917,3
Thailand,0.4980724820019646,-0.22318744522123968,-0.03498771187958807,-0.05787146113220612,-0.17714714589774444,0.5598704424469333,0.45049369640599846,3
Armenia,0.5328734661434447,-0.43580623076685854,0.46543206795651315,-0.26672708528436617,-0.45032285057819516,0.2801242329108614,-0.20332079303419517,3
Kenya,0.5459238351964992,-1.0291609811267246,-0.6605124366747147,-0.22912953587572657,0.42383940439924694,-0.8573024300016783,-0.8329199310136411,1
Nicaragua,0.5720245733026094,-0.851154556018765,-0.6207063178241157,-0.26681139439400287,1.1614138070364648,0.19849203798080028,0.4383860206756246,3
Congo,0.5959502498998772,-0.9006007852154204,-0.8026771468554255,-0.26706745880606225,1.5302010083550726,-1.1459983486164615,-0.14837057241172943,1
Mauritania,0.6177008649883027,-0.28252292025722636,-1.5817397586457198,-0.2684713035153618,-0.6961809847906004,-1.0978597619052126,-1.1868366062091875,1
Honduras,0.6351013570590428,-0.707760491348464,-0.9391552686289077,-0.2617418680247782,1.9672821358437942,0.3049393353563772,0.3890239580825608,3
Niger,0.7503796170276954,-0.7670959663844504,-2.5768927299106945,-0.2659330111122065,-0.4639816358122179,-1.4375419019381055,-0.39797496439174623,1
South Africa,0.7612549245719077,0.09821304455702118,0.2322819432601475,-0.1092051212453299,3.4560897263522503,-1.2055274741551592,-0.5078754056366785,1
United States of America,0.7656050475895922,2.526022898112808,1.3411666826696906,8.723356401411268,0.46481576010131515,0.781959490723148,1.3501871391399396,2
Saudi Arabia,0.7830055396603324,1.2354763160800983,0.6815224274311935,0.058343744809569234,1.1204374513343964,0.2863619089354165,0.9245557692337167,3
Azerbaijan,0.8178065238018124,-0.39624924740953404,0.23796853166737594,-0.251420864463671,-0.5459343472163524,-0.0021984080266582726,-0.30763307624972475,3
Ethiopia,0.8373820773813957,-1.0341056040463903,-1.934308239893882,-0.23569152955321773,-0.36837013917405975,-0.8711337985778685,-1.1421313419739605,1
Zimbabwe,0.9004588611378282,-0.8610438018580959,-0.6207063178241157,-0.26195126832499216,0.9018968875900357,-1.5636514389563054,-2.194567770844928,1
Philippines,1.015737121106481,-0.9945486206890659,-0.03498771187958807,-0.11766661876970569,0.9155556728240585,-0.24275573993019253,0.35270093089143917,3
Burundi,1.024437367141851,-1.1428873082790325,-1.382709164392725,-0.2708127439509002,0.12334612925075175,-1.5509048836017774,-1.6078111777575745,1
Egypt,1.0266124286506932,-0.475363214124183,-0.3591232510916086,-0.11665059596473498,-0.8464276223648486,-0.1398340855250164,-1.1346804646014226,3
Chad,1.0287874901595355,-0.8165421955811061,-2.0992193037035065,-0.26722392082813223,0.7653090352498104,-2.5468990227401425,-1.0676225682485823,1
Cameroon,1.0635884743010156,-0.9599362602514071,-0.6832587903036285,-0.2544948138145646,1.2023901627385318,-1.8617038716079222,-0.33464250672517426,1
Iran,1.0722887203363856,-0.15890734726558756,0.4199393606986857,0.15198371613839096,0.42383940439924694,0.4957308607161715,-0.7267449284549773,3
Mexico,1.1984422878492516,-0.10946111806893198,0.06168429104329524,0.2320322747229887,-0.12251200496165449,0.27564937837150577,0.7597051073663178,3
India,1.2093175953934638,-0.9648808831710727,-0.6320794946385726,0.8831899577158302,-0.2727586425359016,-0.45632834294488445,-1.5668313522086166,1
Colombia,1.3311210398886442,-0.6138126558748184,0.05031111422883838,-0.1541140350687432,1.7350827868654106,0.578447868867894,0.4756404075383129,3
Venezuela,1.3528716549770687,0.22677324046832545,0.4199393606986857,-0.2544606980353163,0.1779812701868417,-0.12979956322464373,-0.5674824246169812,3
Mali,1.4376990538219268,-0.7819298351434472,-2.1276522457396485,-0.26439348755670095,0.3282279077610898,-1.8598054484700142,-0.7248822091118431,1
Israel,1.4920755915429893,1.5370983141796968,1.1762556188600661,-0.08872898739463335,-0.09519443449360904,1.3266812517222983,1.5420472314827889,0
Lebanon,1.633454589617752,0.36027805929929535,-0.1714658336530704,-0.26456485072373,-0.8054512666627809,0.801241384266714,-0.8543412034596879,3
Nigeria,1.8466106174843182,-0.9648808831710727,-1.047200448366248,-0.08365083404674817,-0.35471135394003706,-2.486149482327074,-0.6913532609354224,1
Ukraine,1.9597138159441285,-0.13418423266725987,0.7213285462817924,-0.20107342486559987,-1.5840020250020652,-0.16189415927039508,-0.5833155390336243,3
Turkey,2.1010928140188914,0.1081022903963523,0.12423676352280734,0.04005611859088405,0.5740860419734951,0.6332309365618212,-0.5153262830092163,3
Pakistan,2.225071320022914,-1.147831931198698,-1.4566348136866947,-0.16943280422203544,-0.5732519176843978,-0.7794670813474347,-0.5283653184111577,1
Russia,2.2707476117086065,1.2750332994374227,0.9374189057564721,0.3740048939972612,-0.026900508323496348,0.008500893107722705,-0.022637016750153102,3
Iraq,2.8710645881491383,-0.6088680329551529,-0.7571844395975981,-0.19306053023157008,-1.1196033270452992,-0.3277779761779461,-0.602874092136536,1
Yemen,2.9645922330293657,-1.0291609811267246,-1.8092032949348569,-0.26442956401291756,-0.13617079019567624,-0.935137778655922,-1.7167802593309403,1
Afghanistan,3.3169521974618514,-1.147831931198698,-1.4338884600577808,-0.2642464367840788,-1.133262112279322,-1.1103351139543247,-2.773873486559743,1
