country,tradition_secularism,survival_self-expression,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,religion_christian,religion_muslim,religion_unaffiliated,religion_hinduism,religion_buddhism,religion_folk,religions_other,religion_judaism,happiness,cluster
India,-0.06082284562818491,-0.1523299924417553,1.2224585036459932,-1.1959811002649852,-1.118451669609459,0.6233538824872837,-0.08539777677511948,-0.9410869308387712,0.2705184260898677,4.11426855442743,-0.15227363334515923,9.164237070148321,0.16303584492192177,0.049168331789028366,8.517544620204484,-0.17601038404409444,-1.932186001602468,2
Indonesia,-0.17157135714201735,-0.7454471602176893,-0.451023922046351,-0.9906698611831426,-0.6933203011895752,0.044442772599158346,0.210592575736707,-0.6131384013869949,0.07123811951536456,4.956305985647517,-0.16058120260141673,-0.0735344522859338,-0.11059299014802797,-0.11049661319425791,-0.07348248537817383,-0.18186133541044094,-0.42700999643841486,0
Iran,-0.9266748447363296,-0.3935979928929827,1.093886073379386,-0.39917795811402496,0.0732044388402161,0.022243963339681826,0.6334359364678888,0.17664444065682822,-0.5570150558299567,1.4891682638406278,-0.16229546292413652,-0.11192593339907195,-0.17291350172106434,-0.1338202179026007,-0.13344924327900795,-0.18186133541044094,-1.0424948111319723,0
Iraq,-0.10109503163321493,-1.630096495205523,2.7816543246569094,-0.8440189761246838,-1.2601621257494207,-0.2614099597865016,-0.9592740556195622,-0.7901669279648471,-0.5527466690760182,0.40899691753369355,-0.16321852617483182,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.1744791302637892,-0.18186133541044094,-0.9113097464617108,0
Ireland,-0.6145654031973472,1.2450138435049365,-1.2571526514957119,0.9597869100943612,1.213329472329906,-0.15993507701360396,-0.4941463588152627,1.072204855981795,-0.45030538698149447,-0.39134789482586063,-0.16005373788673372,-0.11202119762019636,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,1.2892457368416985,1
Israel,0.5633960374497798,0.42068150862990966,1.487766693085023,1.2775304943876886,0.9299085600499829,-0.17564110045078202,0.09783434620839224,1.152192302189543,-0.5559479591414721,-0.35732876409916814,-0.16071306878008748,-0.11206882973075856,-0.17236842436036723,-0.13335061512323812,-0.17921334799280242,6.377055146263998,1.3602632154601861,1
Italy,0.43251143293343236,0.661949509081137,-0.5142897210664272,0.49050407790729267,0.3952736573401287,0.35713419017593295,-0.05720821939304129,1.2147067625752122,0.7856593524558191,-0.335842997324415,-0.06484635688644926,-0.11125908385120106,-0.16909796019618456,-0.13147220400578769,-0.16185454965308727,-0.12920277311332234,0.6954607072815672,1
Japan,2.274963942663554,0.008515341192396268,-1.3000101282512473,0.6909269541538529,0.7624325664300283,1.3187144487552482,-0.4800515801242231,1.3991826639990097,-0.5057944147826948,-0.3875111507589404,0.7872728896839637,-0.11183066917794753,1.4919344503014786,-0.11988866878151005,1.6781780743567176,-0.18186133541044094,0.1598705560338084,1
Jordan,-1.319328658285372,-0.9967679940210511,0.012244993358724933,-0.7364749937484805,-0.12003709225973147,-0.3117404133321952,-0.36729335059590734,-0.16579113548432628,-0.5564815074857143,-0.23890126390023125,-0.16368005780017944,-0.11206882973075856,-0.17236842436036723,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-1.3640461726545687,0
Kyrgyzstan,0.1506061308982225,-0.8560283270911685,0.20204239041895414,-0.8293538876188379,0.03455613262022658,-0.3260950759547625,-1.2129800720582715,-0.6316054059580658,-0.5436763472238989,-0.27266461168912903,-0.16348225853217332,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.03345480242763024,0
Latvia,1.0265261765076246,-1.2179303277680096,-0.5877596812187741,1.3117490342346625,0.8783774850899969,-0.3143660893424539,-0.09949255546615907,-0.052278853812606316,-0.5263360260360238,-0.3924989180459367,-0.15069123920111016,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.2506151120463198,1
Lithuania,1.2882953855403194,-0.9465038272603787,-0.5673513589542333,1.0868843438116922,0.9621154818999742,-0.3061663723385324,0.14011868228151003,0.09022305278081309,-0.48045086843118506,-0.3924989180459367,-0.15939440699337995,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.4705720249896905,1
Malaysia,-0.4333405661747122,0.1492550081222789,-0.9734769720185951,0.050551422731915714,-0.06850601729974545,-0.2067230439200424,0.661625493849968,0.09370211840227644,-0.48872086776694085,0.07034030789353704,-0.1612405334947705,-0.09573101580792186,0.008960644298205055,-0.11362729839000862,-0.16185454965308727,-0.18186133541044094,-0.3885421955200669,1
Mali,-0.956878984240102,-0.021643158864007153,1.4367458874236714,-1.0151116753595524,-2.8125357589189983,-0.3200513468153726,0.5347724856306136,-2.588789493861056,-0.5500789273548067,-0.02148576677475313,-0.16282292763881956,-0.11206882973075856,-0.17291350172106434,-0.12114094285981034,-0.17921334799280242,-0.18186133541044094,-1.0405221033925702,0
Mexico,-1.178376007267767,1.0942213432229193,1.212254342513723,-0.3502943297612053,-0.33260277646967307,0.08805027056548473,0.06964478882631306,-0.08173442502289871,2.3188105196361,-0.3924989180459367,-0.09346131765800289,-0.11206882973075856,-0.17291350172106434,-0.13178527252536276,-0.1744791302637892,-0.10579896764793631,0.5317259649111661,0
Moldova,0.7748250139761872,-1.2279831611201442,-0.11224577245497372,-0.8929026044775034,-0.12647847662972972,-0.32236174828443637,-1.4948756458790593,-0.5836867130624417,-0.46711215982512727,-0.39211524363924466,-0.16308665999616107,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.1643084813114014,-0.011755017294203286,1
Montenegro,1.1674788275252297,-1.187771827711606,-0.13673575917242267,0.08476996257888939,0.38883227297013045,-0.32458672260276733,0.3797299200291801,0.20959849191727287,-0.5468776372893528,-0.38955741426129786,-0.16348225853217332,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.19423048318892758,1
Morocco,-1.0273553097489045,-0.9867151606689166,0.13061326249306113,-0.941786232830323,-1.292369047599412,-0.2857283294839709,0.4502038134843771,0.1771220356026318,-0.5594160233790471,0.42408811086357967,-0.16368005780017944,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.8481830988008331,0
Netherlands,1.016458130006367,1.4561233438997603,-0.9714361397921407,0.8180243878711843,1.136032859889927,-0.0015534619216207265,-1.1002218425299561,1.025998515696732,-0.3355924929693976,-0.367048515735366,-0.07157153199865772,-0.11135434807232547,-0.17164165454610442,-0.13303754660366304,-0.1713229851111137,-0.1526065785787084,1.6630738534584593,1
New Zealand,0.30162682841708494,1.9286065114500808,-1.6020532977664508,0.9744519986002068,1.2068880879599078,-0.3183747180947642,-0.01492388331992251,0.977462443968729,-0.4935228028651217,-0.39134789482586063,-0.14264740230219417,-0.11125908385120106,-0.17055149982471018,-0.13335061512323812,-0.1713229851111137,-0.18186133541044094,1.478625679824332,1
Nigeria,-1.238784286275312,0.3402588418128339,1.8204223459970383,-1.1959811002649852,-1.5886727286193316,-0.17146645289610427,-0.16996644892135604,-3.324126512083271,1.5222228416823296,1.5845752996380433,-0.15477909073990354,-0.11206882973075856,-0.17273180926749862,-0.06228406117969696,-0.15238611419506082,-0.18186133541044094,-1.0050133640833259,0
Norway,1.7010852920918766,2.2402443453662495,-0.9591911464334162,0.6713735028127255,1.1940053192199114,-0.18274122495979964,-1.3116435228955472,1.1685004222901536,-0.449505064465131,-0.38802271663452975,-0.15728454813464787,-0.11192593339907195,-0.1720050394532358,-0.1338202179026007,-0.17763527541646468,-0.18186133541044094,1.5920563748399719,1
Pakistan,-1.1280357747614793,-1.1978246610637406,2.175527153400048,-1.376850525170418,-2.0524524032592053,-0.24198608227611132,-0.3954829079779865,-1.3204565161220676,-0.4865866743899716,3.889435352105906,-0.16348225853217332,-0.0803934762068915,-0.17236842436036723,-0.13303754660366304,-0.1744791302637892,-0.18186133541044094,-0.8324014368856136,0
Peru,-1.0676274957539347,0.08893800800947206,0.020408322264541253,-0.6484844627134053,-0.261747548399693,-0.25354872771944587,0.9153315102886767,0.18603714125763118,0.18114907842928063,-0.3924989180459367,-0.15240549952382998,-0.11206882973075856,-0.171278269638973,-0.12489776509471119,-0.15238611419506082,-0.18186133541044094,0.06123516906368643,0
Philippines,-0.916606798235072,-0.051801658920410575,1.0408244354915803,-1.225311277276677,-0.44210631075964335,-0.19943014418031457,1.140847969345307,-0.6903495842919037,1.744178952887131,-0.26089859655057374,-0.16255919528147805,-0.11206882973075856,-0.1701881149175788,-0.08920795386315308,-0.13976153358435892,-0.18186133541044094,0.10068932385173505,0
Poland,-0.4836807986809998,-0.081960158976814,-0.7183729437118352,0.40740190970749934,0.8783774850899969,-0.11510065174279083,-0.9310844982374836,0.36435478590057985,0.40310518963408204,-0.3924989180459367,-0.1353947624753027,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.17601038404409444,0.38278653058628287,1
Portugal,-0.6044973566960897,0.5513683422076578,-1.4938891897643847,0.1336535909317091,0.18914935750018463,-0.24521522857381073,-0.35319857190486875,0.8143812429626341,-0.29824410887243585,-0.39185946070144995,-0.1531966965958545,-0.11206882973075856,-0.17236842436036723,-0.13366368364281317,-0.17921334799280242,-0.18186133541044094,0.14902066346709494,1
Romania,-0.09102698513195742,-1.499409661627775,-0.8163328905816306,-0.4382848607962807,0.2084735106101794,-0.23374864837922474,-0.043113440702001696,-0.01733288216844347,0.0104136082717411,-0.39083632895027126,-0.16348225853217332,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.3571413299740506,1
Russia,0.7949611069787021,-1.3687228280500265,2.218384630155583,1.0184472641177449,0.6593704165100563,0.20476310046286608,0.1683082396635892,-0.3953706376435219,2.2345098812458146,-0.027112991406236093,0.14191981126929315,-0.11183066917794753,-0.16691765075339612,-0.12427162805556105,-0.17921334799280242,0.08143147607515203,-0.29681128563785397,0
Rwanda,-1.279056472280342,-0.5644961598792687,0.01632665781163264,-1.337743622488162,-1.8012384128292735,-0.32300680386412056,1.042184518508032,-1.0417002660880554,-0.29530959297910314,-0.3877669336967351,-0.15873507610002616,-0.11206882973075856,-0.17291350172106434,-0.13084606696663753,-0.1744791302637892,-0.18186133541044094,-2.3306729649617584,0
South Africa,-0.8259943797237547,-0.0417488255682761,0.8020470649964532,-0.14498309067936282,-0.13936124536972622,-0.19247411754441981,3.762476805878635,-1.8206576226936626,0.5260880829819348,-0.3706294768644915,-0.06550568777980302,-0.10668640123722926,-0.16946134510331595,-0.12740231325131177,-0.12713695297365699,-0.10579896764793631,-0.8107016517521867,0
South Korea,1.4393160830591818,-0.49412632641432747,-0.2836756794771164,1.0184472641177449,0.8526119476100039,0.2615911753299562,-0.12768211284823827,1.2193662254611008,-0.18193056982761202,-0.3900689801368872,0.13084305226094983,-0.11206882973075856,0.2284451282055751,-0.1214540113793854,-0.14607382388970988,-0.18186133541044094,0.0661669384121924,1
Saudi Arabia,-1.017287263247647,0.20957200823508573,0.8224553872609935,0.9793403614354891,0.3695081198601357,-0.05473557046875673,1.3522696497108981,-0.06915775811673933,-0.5279366710687508,0.2601312477371897,-0.16137239967344125,-0.10916327098646399,-0.16982473001044737,-0.13178527252536276,-0.15869840450041178,-0.18186133541044094,0.7063105998482806,0
Serbia,0.6540084559610972,-0.5644961598792687,-0.3959214519320906,-0.4431732236315626,0.3115356605301514,-0.3068001450869877,-0.01492388331992251,0.018777955197190416,-0.3601357168045439,-0.38418597256760956,-0.16031747024407522,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.2959873900525759,1
Singapore,-0.24204768265081988,-0.22269982590669665,-1.3449084372332372,2.1329939905620323,0.6593704165100563,-0.2042953010061985,1.3522696497108981,1.26246625715557,-0.5354063478881431,-0.37395465505582237,-0.15280109805984224,-0.10963959209208606,-0.11022960524089656,-0.1302199299274874,-0.02614030808804162,-0.18186133541044094,0.5909071970932386,1
Slovakia,0.9761859440013372,-0.37349232618871375,-0.9306194952630591,0.2216441219667843,0.652929032140058,-0.28872214815889696,-1.5653495393342562,0.30300519123638414,-0.4356328075148309,-0.3924989180459367,-0.153460428953196,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.5455349190869833,1
Slovenia,1.036594223008882,0.42068150862990966,-1.3285817794216044,1.077107618141128,1.007205172489962,-0.32439491447187674,-1.7062973262446504,0.9095119435495216,-0.5175324783560257,-0.39083632895027126,-0.15886694227869694,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.6737609221481411,1
